Course #	Section #	Course Name	Instructor id	days	beg_tm	end_tm	Number of Slots	Seating type	 Whiteboard	 Chalkboard	 Computer/Laptop	 Sound System	 CD Player	 DVD Player	 Video Projector	 Hearing Assisted System	 Visual Optimizer	 Laptop Connectivity	 Network Connections	 Overhead Projector	 Podium	 Projector Screen	 TV/Monitors	 Piano
BIOL270	1	GENETICS	123456	-M-W-F-	920	1030	30	group																
BIOL270	2	GENETICS	123456	-M-W-F-	1040	1150	30	group																
BIOL270L	1	GENETICS LAB	123456	-M-----	1320	1610	30	group																
BIOL270L	2	GENETICS LAB	123456	--T----	1300	1550	30	group																
BIOL270L	3	GENETICS LAB	123456	---W---	1320	1610	30	group																
BIOL270L	4	GENETICS LAB	123456	----R--	1300	1550	30	group																
BIOL303	1	INVERTEBRATE ZOOLOGY	123456	-M-W-F-	1040	1150	30	group																
BIOL303	1	INVERTEBRATE ZOOLOGY	123456	-M-----	1320	1610	30	group																
BIOL305	1	ANIMAL BEHAVIOR	123456	---W---	1320	1610	30	group																
BIOL305	1	ANIMAL BEHAVIOR	123456	-M-W-F-	800	910	30	group																
BIOL311	1	BIOSTATISTICS	123456	--T----	1300	1550	30	group																
BIOL311	1	BIOSTATISTICS	123456	--T-R--	1000	1150	30	group																
BIOL330	1	HUMAN ANATOMY & PHYSIOLOGY	123456	--T-R--	800	950	30	group																
BIOL330L	1	HUMAN ANATOMY/PHYSIOLOGY LAB	123456	---W---	1320	1610	30	group																
BIOL330L	2	HUMAN ANATOMY/PHYSIOLOGY LAB	123456	----R--	1300	1550	30	group																
BIOL436	1	COMPARATIVE ANIMAL PHYSIOLOGY	123456	-M-----	1320	1610	30	group																
BIOL436	1	COMPARATIVE ANIMAL PHYSIOLOGY	123456	-M-W-F-	920	1030	30	group																
BIOL463	1	ECOLOGY OF COASTAL SYSTEMS	123456	--T-R--	800	950	30	group																
BIOL463	1	ECOLOGY OF COASTAL SYSTEMS	123456	--T----	1300	1550	30	group																
BIOL493	1	ST. MARY'S PROJECT	123456	-----F-	1320	1430	30	group																
BIOL494	1	ST. MARY'S PROJECT	123456	-----F-	1320	1430	30	group																
CHEM101	1	CONTEMPORARY CHEMISTRY W/ LAB	123456	--T-R--	1000	1150	30	group																
CHEM101	1	CONTEMPORARY CHEMISTRY W/ LAB	123456	--T----	1240	1550	30	group																
CHEM103	1	GENERAL CHEMISTRY I	123456	--T----	1800	2200	30	group																
CHEM103	1	GENERAL CHEMISTRY I	123456	--T----	1800	2200	30	group																
CHEM103	1	GENERAL CHEMISTRY I	123456	-M-W-F-	920	1030	30	group																
CHEM103	1	GENERAL CHEMISTRY I	123456	--T----	1800	2200	30	group																
CHEM103	2	GENERAL CHEMISTRY I	123456	--T----	1800	2200	30	group																
CHEM103	2	GENERAL CHEMISTRY I	123456	-M-W-F-	1040	1150	30	group																
CHEM103	2	GENERAL CHEMISTRY I	123456	--T----	1800	2200	30	group																
CHEM103	3	GENERAL CHEMISTRY I	123456	--T----	1800	2200	30	group																
CHEM103	3	GENERAL CHEMISTRY I	123456	-M-W-F-	800	910	30	group																
CHEM103	3	GENERAL CHEMISTRY I	123456	--T----	1800	2200	30	group																
CHEM106	1	GENERAL CHEMISTRY II	123456	-M-W-F-	1040	1150	30	group																
CHEM106L	1	GEN CHEM II LAB	123456	-M-----	1320	1630	30	group																
CHEM109	1	EMERGING SCHOLARS PROGRAM	123456	-M-----	1800	2000	30	group																
CHEM306	1	INSTR ANALYSIS	123456	-M-W-F-	920	1030	30	group																
CHEM306	1	INSTR ANALYSIS	123456	---W---	1320	1630	30	group																
CHEM311	1	ORGANIC CHEMISTRY I	123456	-M-W-F-	1040	1150	30	group																
CHEM311	1	ORGANIC CHEMISTRY I	123456	----R--	1800	2200	30	group																
CHEM311	2	ORGANIC CHEMISTRY I	123456	-M-W-F-	920	1030	30	group																
CHEM311	2	ORGANIC CHEMISTRY I	123456	----R--	1800	2200	30	group																
CHEM311	3	ORGANIC CHEMISTRY I	123456	-M-W-F-	800	910	30	group																
CHEM311	3	ORGANIC CHEMISTRY I	123456	----R--	1800	2200	30	group																
CHEM311L	1	ORGANIC CHEM I LAB	123456	-M-----	1320	1630	30	group																
CHEM311L	2	ORGANIC CHEM I LAB	123456	-M-----	1800	2110	30	group																
CHEM311L	3	ORGANIC CHEM I LAB	123456	--T----	1240	1550	30	group																
CHEM311L	4	ORGANIC CHEM I LAB	123456	---W---	1320	1630	30	group																
CHEM311L	5	ORGANIC CHEM I LAB	123456	---W---	1800	2110	30	group																
CHEM311L	6	ORGANIC CHEM I LAB	123456	----R--	1240	1550	30	group																
CHEM311L	7	ORGANIC CHEM I LAB	123456	----R--	840	1150	30	group																
CHEM325	1	INTRO TO CHEMICAL LIT	123456	-----F-	1320	1430	30	group																
CHEM405	1	INORGANIC CHEMISTRY	123456	-M-W-F-	800	910	30	group																
CHEM405	1	INORGANIC CHEMISTRY	123456	----R--	1240	1550	30	group																
CHEM420	1	BIOCHEMISTRY I	123456	-M-W-F-	920	1030	30	group																
CHEM420	1	BIOCHEMISTRY I	123456	-M-----	1800	2200	30	group																
CHEM420	2	BIOCHEMISTRY I	123456	-M-W-F-	1200	1310	30	group																
CHEM420	2	BIOCHEMISTRY I	123456	-M-----	1800	2200	30	group																
CHEM420L	1	BIOCHEMISTRY I LAB	123456	---W---	1320	1630	30	group																
CHEM420L	2	BIOCHEMISTRY I LAB	123456	---W---	1800	2110	30	group																
CHEM420L	3	BIOCHEMISTRY I LAB	123456	----R--	1240	1550	30	group																
CHEM451	1	PHYSICAL CHEMISTRY I	123456	--T-R--	1000	1150	30	group																
CHEM451	1	PHYSICAL CHEMISTRY I	123456	----R--	1800	2200	30	group																
CHEM451L	1	PHYSICAL CHEM I LAB	123456	-M-----	1320	1630	30	group																
CHEM451L	2	PHYSICAL CHEM I LAB	123456	--T----	1240	1550	30	group																
CORE101	1	FIRST YEAR SEMINAR:Global Scholars	123456	-M-W-F-	1200	1310	30	group																
CORE101	2	FIRST YEAR SEMINAR:The Art of Political Protest	123456	--T-R--	1200	1350	30	group																
CORE101	4	FIRST YEAR SEMINAR:Genes God and Goodness	123456	-M-W-F-	1200	1310	30	group																
CORE101	6	FIRST YEAR SEMINAR:Evolution of Altruism	123456	-M-W-F-	1200	1310	30	group																
CORE101	8	FIRST YEAR SEMINAR:American Football	123456	-M-W-F-	1200	1310	30	group																
CORE101	9	FIRST YEAR SEMINAR:Privilege Power and Difference	123456	--T-R--	1200	1350	30	group																
CORE101	11	FIRST YEAR SEMINAR:Haruki Murakami	123456	--T-R--	1200	1350	30	group																
CORE101	12	FIRST YEAR SEMINAR:True Grit: The Art of Resilience	123456	--T-R--	1200	1350	30	group																
CORE101	13	FIRST YEAR SEMINAR:The Beatles	123456	--T-R--	1200	1350	30	group																
CORE101	14	FIRST YEAR SEMINAR:Japanese Arts and Ways	123456	--T-R--	1800	1950	30	group																
CORE101	15	FIRST YEAR SEMINAR:The Quest for Humanity in Amer.	123456	--T-R--	1200	1350	30	group																
CORE101	16	FIRST YEAR SEMINAR:Winston Churchill	123456	--T-R--	1200	1350	30	group																
CORE101	17	FIRST YEAR SEMINAR:The Many Lives of Lincoln	123456	-M-W-F-	1200	1310	30	group																
CORE101	18	FIRST YEAR SEMINAR:Creativity as a Force	123456	-M-W-F-	1200	1310	30	group																
CORE101	19	FIRST YEAR SEMINAR:Concepts of Family and Identity	123456	--T-R--	1200	1350	30	group																
CORE101	20	FIRST YEAR SEMINAR:Mind-bending Math	123456	-M-W-F-	1200	1310	30	group																
CORE101	21	FIRST YEAR SEMINAR:Music and Loss	123456	--T-R--	1200	1350	30	group																
CORE101	22	FIRST YEAR SEMINAR:Race and Racism in the U.S.	123456	-M-W-F-	1200	1310	30	group																
CORE101	23	FIRST YEAR SEMINAR:Women/Gender/Religion . . .	123456	-M-W-F-	1200	1310	30	group																
CORE101	24	FIRST YEAR SEMINAR:Busnss.Ethics/Corp.Responsiblty	123456	--T-R--	1200	1350	30	group																
CORE101	25	FIRST YEAR SEMINAR:Politics of the City: Baltimore	123456	--T-R--	1800	1950	30	group																
CORE101	26	FIRST YEAR SEMINAR:Road to the White House	123456	-M-W-F-	1200	1310	30	group																
CORE101	27	FIRST YEAR SEMINAR:Critical Thinking: A User's Guid	123456	-M-W-F-	1200	1310	30	group																
CORE101	28	FIRST YEAR SEMINAR:Mind Brain Music	123456	-M-W-F-	1200	1310	30	group																
CORE101	30	FIRST YEAR SEMINAR:Galileo and  Modern Science	123456	-M-W-F-	1200	1310	30	group																
CORE101	32	FIRST YEAR SEMINAR:Masks and Disguise Across Hist.	123456	--T-R--	1200	1350	30	group																
CORE101	33	FIRST YEAR SEMINAR:Perf. Empathy and the Art of	123456	--T-R--	1800	1950	30	group																
